d,a,c,h,a,a,s,u,$,COPY	d,a,c,h,a,a,s,u
d,a,c,h,a,a,s,u,$,V,SG,2,PRS	d,a,c,h,a,a,s,u,a,a, ,j,i,r,t,a,a
d,a,c,h,a,a,s,u,$,V,PL,3,FUT	n,i, ,d,a,c,h,a,a,s,u,t,a,n,i,i
d,a,c,h,a,a,s,u,$,V,PL,2,FUT	n,i, ,d,a,c,h,a,a,s,u,t,t,u,u
d,a,c,h,a,a,s,u,$,V,PL,1,FUT	n,i, ,d,a,c,h,a,a,s,u,n,n,a,a
d,a,c,h,a,a,s,u,$,V,PL,3,PRS	d,a,c,h,a,a,s,u,a,a, ,j,i,r,a,n,i,i
d,a,c,h,a,a,s,u,$,V,SG,1,PST	d,a,c,h,a,a,s,u,d,h,e,e
d,a,c,h,a,a,s,u,$,V,PL,1,PST	d,a,c,h,a,a,s,u,n,e,e
d,a,c,h,a,a,s,u,$,V,MASC,SG,3,PST	d,a,c,h,a,a,s,u,t,e,e
d,a,c,h,a,a,s,u,$,V,MASC,SG,3,FUT	n,i, ,d,a,c,h,a,a,s,u,t,a,a
d,a,c,h,a,a,s,u,$,V,PL,2,PRS	d,a,c,h,a,a,s,u,a,a, ,j,i,r,t,u,u
d,a,c,h,a,a,s,u,$,V,SG,1,FUT	n,i, ,d,a,c,h,a,a,s,u,d,h,a,a
d,a,c,h,a,a,s,u,$,V,SG,1,PRS	d,a,c,h,a,a,s,u,a,a, ,j,i,r,a,a
d,a,c,h,a,a,s,u,$,V,FEM,SG,3,FUT	n,i, ,d,a,c,h,a,a,s,u,t,t,i,i
d,a,c,h,a,a,s,u,$,V,PL,3,PST	d,a,c,h,a,a,s,u,t,a,n,i,i
d,a,c,h,a,a,s,u,$,V,PL,2,PST	d,a,c,h,a,a,s,u,t,t,a,n,i,i
d,a,c,h,a,a,s,u,$,V,SG,2,FUT	n,i, ,d,a,c,h,a,a,s,u,t,t,a,a
d,a,c,h,a,a,s,u,$,V,NFIN	d,a,c,h,a,a,s,u
d,a,c,h,a,a,s,u,$,V,FEM,SG,3,PRS	d,a,c,h,a,a,s,u,a,a, ,j,i,r,t,i,i
d,a,c,h,a,a,s,u,$,V,PL,1,PRS	d,a,c,h,a,a,s,u,a,a, ,j,i,r,a,a
d,a,c,h,a,a,s,u,$,V,FEM,SG,3,PST	d,a,c,h,a,a,s,u,t,t,e,e
d,a,c,h,a,a,s,u,$,V,MASC,SG,3,PRS	d,a,c,h,a,a,s,u,a,a, ,j,i,r,a,a
d,a,c,h,a,a,s,u,$,V,SG,2,PST	d,a,c,h,a,a,s,u,t,t,e,e
d,u,',$,COPY	d,u,'
d,u,',$,V,SG,1,PST	d,u,',d,h,e,e
d,u,',$,V,MASC,SG,3,PST	d,u,',t,e,e
d,u,',$,V,SG,2,PRS	d,u,',a,a, ,j,i,r,t,a,a
d,u,',$,V,PL,2,PST	d,u,',t,t,a,n,i,i
d,u,',$,V,SG,1,PRS	d,u,',a,a, ,j,i,r,a,a
d,u,',$,V,FEM,SG,3,PST	d,u,',t,t,e,e
d,u,',$,V,PL,2,PRS	d,u,',a,a, ,j,i,r,t,u,u
d,u,',$,V,PL,3,FUT	n,i, ,d,u,',t,a,n,i,i
d,u,',$,V,MASC,SG,3,PRS	d,u,',a,a, ,j,i,r,a,a
d,u,',$,V,SG,2,PST	d,u,',t,t,e,e
d,u,',$,V,PL,3,PST	d,u,',t,a,n,i,i
d,u,',$,V,PL,1,PST	d,u,',n,e,e
