i,p,p,r,o,m,w,o,v,a,$,COPY	i,p,p,r,o,m,w,o,v,a
i,p,p,r,o,m,w,o,v,a,$,V,IPFV,FIN,PL,3,PST	j,i,p,p,r,o,m,w,o,v,u
i,p,p,r,o,m,w,o,v,a,$,V,IPFV,FIN,PL,2,PST	t,i,p,p,r,o,m,w,o,v,u
i,p,p,r,o,m,w,o,v,a,$,V,FIN,IMP,SG,2	i,p,p,r,o,m,w,o,v,i
i,p,p,r,o,m,w,o,v,a,$,V,PRF,FIN,SG,2,PST	i,p,p,r,o,m,w,o,v,e,j,t
i,p,p,r,o,m,w,o,v,a,$,V,IPFV,FIN,SG,1,PST	n,i,p,p,r,o,m,w,o,v,i
i,p,p,r,o,m,w,o,v,a,$,V,PRF,FIN,MASC,SG,3,PST	i,p,p,r,o,m,w,o,v,a
i,p,p,r,o,m,w,o,v,a,$,V,PRF,FIN,SG,1,PST	i,p,p,r,o,m,w,o,v,e,j,t
i,p,p,r,o,m,w,o,v,a,$,V,IPFV,FIN,FEM,SG,3,PST	t,i,p,p,r,o,m,w,o,v,i
i,p,p,r,o,m,w,o,v,a,$,V,PRF,FIN,FEM,SG,3,PST	i,p,p,r,o,m,w,o,v,i,e,t
i,p,p,r,o,m,w,o,v,a,$,V,IPFV,FIN,PL,1,PST	n,i,p,p,r,o,m,w,o,v,u
i,p,p,r,o,m,w,o,v,a,$,V,IPFV,FIN,SG,2,PST	t,i,p,p,r,o,m,w,o,v,i
i,p,p,r,o,m,w,o,v,a,$,V,IPFV,FIN,MASC,SG,3,PST	j,i,p,p,r,o,m,w,o,v,i
i,p,p,r,o,m,w,o,v,a,$,V,PRF,FIN,PL,1,PST	i,p,p,r,o,m,w,o,v,e,j,n,a
i,p,p,r,o,m,w,o,v,a,$,V,PRF,FIN,PL,3,PST	i,p,p,r,o,m,w,o,v,e,w
i,p,p,r,o,m,w,o,v,a,$,V,PRF,FIN,PL,2,PST	i,p,p,r,o,m,w,o,v,e,j,t,u
i,p,p,r,o,m,w,o,v,a,$,V,FIN,IMP,PL,1	i,p,p,r,o,m,w,o,v,u
k,i,b,e,r,$,COPY	k,i,b,e,r
k,i,b,e,r,$,V,IPFV,FIN,PL,2,PST	t,i,k,b,r,u
k,i,b,e,r,$,V,PRF,FIN,FEM,SG,3,PST	k,i,b,r,e,t
k,i,b,e,r,$,V,IPFV,FIN,PL,1,PST	n,i,k,b,r,u
k,i,b,e,r,$,V,IPFV,FIN,FEM,SG,3,PST	t,i,k,b,e,r
k,i,b,e,r,$,V,FIN,IMP,PL,1	i,k,b,r,u
k,i,b,e,r,$,V,PRF,FIN,PL,1,PST	k,b,i,r,n,a
k,i,b,e,r,$,V,PRF,FIN,PL,2,PST	k,b,i,r,t,u
k,i,b,e,r,$,V,FIN,IMP,SG,2	i,k,b,e,r
k,i,b,e,r,$,V,PRF,FIN,SG,2,PST	k,b,i,r,t
k,i,b,e,r,$,V,PRF,FIN,SG,1,PST	k,b,i,r,t
